Person,Gender,mtDNA,yChrom,Age
I12440,M,K2b1,I2a1b1a,100
I13898,M,K1a3a1,I2a1b1a,100
I12437,M,K1a3a1,I2a1b1a,100
I21390,F,U8b1b,n/a,100
I12439,M,K1b1a,I2a1b1a,100
I13891,M,U5b1,I2a1b1a,100
I21387,F,K1d,n/a,100
I12438,M,W5,I2a1b1a,100
I21388,M,U8b1b,I2a1b1a,100
I13895,M,U8b1b,I2a1b1a,100
I12537,M,K1a3a1,I2a1b1a,100
I21385,M,K1d,I2a1a,100
I20821,M,H5,I2a1b1a,100
I21389,M,H1,I2a1b1a,100
I13888,F,K1b1a,n/a,100
I21393,M,K1b1a,I2a1b1a,100
I21395,M,J1c1b1,I2a1b1a,100
I13896,F,J1c1b1,n/a,100
I13890,M,T2e1,I2a1b1a,100
I13892,M,T2e1,I2a1b1a,100
