Person A,Person B,Degree
I12437,I13888,1	
I12437,I21393,1	
I13888,I21393,1
I12437,I21389,1
I13895,I20821,1
I13895,I21390,1
I21388,I21390,1
I13896,I21395,1	
I21385,I21387,1
I12437,I12438,2
I12437,I12440,2
I12437,I13898,2
I12437,I21388,2
I12438,I12440,2
I12438,I13896,2
I12438,I21388,2
I12438,I21395,2
I12439,I12440,2
I12439,I13888,2
I12439,I21393,2
I12440,I13891,2
I12440,I21388,2
I13888,I21389,2
I13895,I21388,2
I13896,I21387,2
I20821,I21390,2
I21387,I21395,2
I21389,I21393,2
I12437,I13891,3
I12438,I13888,3
I12438,I13891,3
I12438,I21389,3
I12438,I21393,3
I12440,I13888,3
I12440,I21389,3
I12440,I21393,3
I13888,I13898,3
I13888,I21388,3
I13890,I21387,3
I13896,I21385,3
I13898,I21389,3
I21385,I21395,3
I21388,I21389,3
I21388,I21393,3
